"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TOLLIP",0.383976567021368,6.93875069826316,2.71981870848113,0.00851246185106049,0.02190578920034,-3.26073867293006
"ATG5",-0.37205621558547,6.51601751880702,-2.71773380675611,0.00856030272191552,0.0219539736473616,-3.26579769107867
"TNFSF4",-0.550004106504274,5.05887519863158,-2.71233055589052,0.00868543625893035,0.0221993862346898,-3.27889461393237
"FUT5",-0.854646844055555,2.82246119792982,-2.703548553326,0.00889239675349813,0.0226171830891212,-3.30013788045817
"IL1RN",-0.829456944495726,4.10674599577193,-2.70285674916607,0.00890889042104642,0.0226171830891212,-3.30180903695059
"FCGR1A",-0.604348354363248,3.43142011522807,-2.69547103043003,0.00908673070752016,0.0229912582331215,-3.31962950240084
"KIT",0.970616911940171,4.79186242238596,2.68249128851155,0.00940715727164699,0.0237223965980663,-3.35085485351885
"TFRC",-0.614925626029914,8.15048815484211,-2.65877832956696,0.0100193496440898,0.0251819654388123,-3.40759534683548
"KIR_Inhibiting_Subgroup_2",-0.703132237705129,2.83688653659649,-2.64109693993494,0.0104992576321807,0.0263004659623398,-3.44964505261951
"CLEC5A",-0.750489638649573,4.39548116687719,-2.63833948298856,0.0105759617177326,0.0264048845535444,-3.4561828339684
"IL8",-1.28820804842735,5.83800637426316,-2.61999127726051,0.0110994948571287,0.0276205251560233,-3.49954772244727
"S100A7",-2.23878839121367,5.54240258735088,-2.61557847154954,0.0112288762058907,0.0277954802312773,-3.50994132779567
"NLRP3",-0.543065461418803,4.09802552007018,-2.61508160297614,0.0112435298017766,0.0277954802312773,-3.51111074513516
"TNFSF13",-0.532075116478633,5.97927708226316,-2.60410582852969,0.011571696248534,0.0285132646124009,-3.53689802078832
"CD33",-0.535425530333333,3.43729492291228,-2.59416024595233,0.0118765577588665,0.0291691353426233,-3.56019034401162
"IL23A",-0.657376203260684,3.88337726063158,-2.58194622384086,0.0122609309083502,0.030015395795117,-3.58869805917739
"PECAM1",-0.624158260487179,7.36179713424561,-2.58059181744997,0.0123042422961994,0.0300239439849008,-3.59185264882704
"STING",-0.524558387055555,7.53093932003509,-2.57854877932115,0.0123698376640864,0.0300866374152295,-3.59660864980837
"SMAD2",0.423580362491453,6.94746445696491,2.57670660547486,0.0124292559065086,0.030133951618995,-3.60089447648028
"IRF7",-0.641838541982906,7.06748265584211,-2.56012234116088,0.0129759479311694,0.0313585408336593,-3.63936745510994
"SELE",-0.674443741470085,3.83149059887719,-2.5461089967424,0.0134547833033189,0.032411842206717,-3.6717209690924
"CCL11",-0.741558957192307,3.7115316175614,-2.54338431561103,0.0135497231589624,0.0325365963753427,-3.67799504996318
"HLA-DQB1",-1.8876785111282,6.27806921061404,-2.54088457173832,0.0136373582911569,0.032643073496928,-3.68374641965374
"CEBPB",-0.557433935756409,8.84728164907018,-2.53921322616754,0.0136962376120017,0.0326802631628141,-3.687589286212
"MAP3K7",-0.288064346833334,7.57961647852632,-2.53433146936458,0.0138695354097884,0.0329893681355851,-3.69880208433494
"C1R",-0.600723837606837,9.70411039287719,-2.53267773349604,0.0139286898671985,0.0330258872951815,-3.70259657300047
"CCL22",-0.583089211252137,4.16695701950877,-2.52098007051361,0.0143536765366534,0.0339268718139081,-3.72937977667218
"TREM1",-1.03956726301282,4.74785722466667,-2.50545513614841,0.0149358060206396,0.0351924929361321,-3.76477129524419
"STAB1",-0.588745311623932,6.34904168742105,-2.50277648649612,0.0150383752839513,0.035221970774158,-3.77085980586191
"COLEC12",0.747774426747863,4.97550393796491,2.50268880412173,0.0150417434871073,0.035221970774158,-3.77105901680355
"PLAU",-0.88954159873077,8.3178552452807,-2.50031976209464,0.0151330052586118,0.0353259627399174,-3.77643924854107
"XCR1",-0.548901686893162,3.31040251114035,-2.4972808606592,0.015250803337287,0.0354910670256617,-3.78333472567067
