"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SYK",-1.05936505997863,6.39077379485965,-4.45795343787022,3.64497131741334e-05,0.000160719787914015,1.84332934536157
"SOCS1",-1.10623531587179,5.27090387303509,-4.45313216013205,3.70711319918071e-05,0.000162509497219899,1.82717264309677
"NOD2",-1.30067762792735,4.92932527698246,-4.44737115686296,3.78271942517346e-05,0.000164865343732994,1.80787822344186
"CCL8",-1.25243164940171,4.51262771778948,-4.41688247720194,4.20849714257533e-05,0.000181326105457245,1.70597561850077
"TNFRSF17",-1.57195373329915,3.97211081931579,-4.41357356472769,4.25741686060439e-05,0.000182391608687256,1.69493741464965
"CCL2",-1.20968700810256,7.13610904182456,-4.41016288129635,4.30841953753674e-05,0.000183533804028401,1.68356408316846
"CDK1",-1.08577572877778,7.45228553073684,-4.31066455612228,6.08725357552683e-05,0.00025218621955754,1.35375877217532
"TNFSF14",-1.30976081126068,4.43812683463158,-4.27929856649225,6.78304697689562e-05,0.00027947636178029,1.25060165908411
"TBX21",-1.02832184990171,4.30642429808772,-4.21592138523862,8.43187627452275e-05,0.00034180831779517,1.04338606496803
"SH2D1B",-1.04114035052564,3.01942506470175,-4.2110543202308,8.57343224216825e-05,0.000345688123561223,1.02754138504056
"CD19",-1.28825096504701,4.3299318848772,-4.20442487258946,8.7699523612557e-05,0.000351731068105681,1.00597517015497
"CD40",-1.07751873355128,5.90411290663158,-4.13199715176217,0.000112217159936373,0.000442993395769764,0.771568520958928
"CD163",-1.20165467780769,6.66666264138597,-4.12716140662537,0.000114071323008731,0.00044796759139887,0.755997733172195
"Clec10a (CD301)",-1.10695757494444,4.20274912735088,-4.03763029911961,0.000154252309030565,0.000586647316808688,0.469558154252523
"IL16",-1.11207635468803,6.43790591566667,-4.03651276647455,0.000154831321014495,0.000586647316808688,0.466005208301984
"BATF",-1.13922529968376,5.49046305266667,-4.02102400028555,0.000163075352784458,0.000614794079997408,0.416819850126862
"ISG20",-1.10560787325641,6.85870599852632,-4.00970438442636,0.000169366301753952,0.00063533428618149,0.380942195578474
"CD22",-1.37798020892735,4.48406596361403,-3.97584981773738,0.000189608131746772,0.000707745204638942,0.273987055345337
"BIRC5",-1.0947710669188,7.59636082294737,-3.94737013267755,0.000208422665156631,0.00077159345826758,0.184419639740854
"IL21",-1.09535158276068,2.81102864738597,-3.94688238505623,0.000208760033801839,0.00077159345826758,0.182888961003659
"KLRC1",-1.01797026064103,4.17975508347369,-3.88796334700307,0.000253618250880613,0.000932820298360889,-0.00119553542573669
"OAS3",-1.17663694604274,7.08787045624562,-3.88202492215559,0.000258621946571786,0.000942033563841192,-0.0196584714032415
"CLEC4C",-1.10412528333761,2.72344847384211,-3.76050248130382,0.000384458431135242,0.00134204470868506,-0.393736579157596
"POU2AF1",-1.28923753502564,3.42470165505263,-3.75036664767121,0.000397268254913644,0.00138036988112851,-0.424609226830674
"MX1",-1.4377676990812,9.51845643805263,-3.70727055892499,0.000456440313850051,0.00157148856914584,-0.555298741387681
"CXCL3",-1.1139218445812,3.80720163466667,-3.67837224545547,0.000500742625412813,0.00170684160847837,-0.642405163874868
"CXCL1",-1.41851695686325,5.47072885308772,-3.6772490680712,0.000502544876766842,0.00170684160847837,-0.645782052551004
"CCL20",-1.23715035941026,4.43811155187719,-3.63169720421646,0.00058108830738395,0.00195598474896205,-0.782186428308529
"BLK",-1.01623405068376,3.07726854012281,-3.62990874593917,0.000584399439431889,0.00195838745480731,-0.78751992693877
"IFIH1",-1.06145196597009,6.30688103935087,-3.59842447261151,0.000645720621890002,0.0021354094250222,-0.881136645335858
"TNFRSF13B",-1.18757355452137,3.09670712833333,-3.45820155522428,0.00100129258772496,0.00314572754643593,-1.29163106889393
"ISG15",-1.22807295623504,8.04712733335088,-3.40987283622192,0.00116214314056611,0.00359121281961822,-1.43060613798856
"CXCL2",-1.21162076674359,5.54884583217544,-3.25842906887521,0.00183942207822498,0.00543891861561425,-1.85746096074
"CCL21",-1.42962801250855,4.81601636592982,-3.19548984148959,0.00221839695386418,0.00635996693237108,-2.03089390015073
"HLA-DQA1",-2.69351298871795,7.41373807264912,-3.08120015237596,0.00310039105838167,0.00850070857461738,-2.33966197548604
"IL6",-1.01068929218803,3.74049767610526,-2.91830245889603,0.00493394724773441,0.0132864150885419,-2.7655230003144
"CFB",-1.29160765723504,6.8609191845614,-2.88739846949671,0.00537940456397167,0.0144344165168493,-2.84436933243437
"CARD9",-1.01848594339316,4.80625577159649,-2.88371922649756,0.00543484865998735,0.0144801268184822,-2.85371417895269
"IL32",-1.67344846002991,9.05278485787719,-2.73026398559585,0.00827644872648796,0.0214448190370169,-3.2353477270076
"IL8",-1.28820804842735,5.83800637426316,-2.61999127726051,0.0110994948571287,0.0276205251560233,-3.49954772244727
"S100A7",-2.23878839121367,5.54240258735088,-2.61557847154954,0.0112288762058907,0.0277954802312773,-3.50994132779567
"HLA-DQB1",-1.8876785111282,6.27806921061404,-2.54088457173832,0.0136373582911569,0.032643073496928,-3.68374641965374
"TREM1",-1.03956726301282,4.74785722466667,-2.50545513614841,0.0149358060206396,0.0351924929361321,-3.76477129524419
"CXCL5",-1.15447603444017,3.34120267008772,-2.38099378843832,0.0204279863522192,0.0459782140584278,-4.0420440727222
